"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","age:ch1","group:ch1","tissue:ch1"
"GSM4002536","A3.1 rep2","GSM4002536","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Control","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423307","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639052","NONE","day 35","Control","ileum"
"GSM4002537","A5.1 rep2","GSM4002537","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Control","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423305","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639053","NONE","day 35","Control","ileum"
"GSM4002538","D4.1 rep2","GSM4002538","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Avilamycin","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423302","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639054","NONE","day 35","Avilamycin","ileum"
"GSM4002539","D5.1 rep2","GSM4002539","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Avilamycin","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423301","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639055","NONE","day 35","Avilamycin","ileum"
"GSM4002540","A4.1 rep2","GSM4002540","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Control","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423299","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639056","NONE","day 35","Control","ileum"
"GSM4002541","A6.1 rep2","GSM4002541","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Control","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423298","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639057","NONE","day 35","Control","ileum"
"GSM4002542","A7.1 rep2","GSM4002542","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Control","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423356","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639058","NONE","day 35","Control","ileum"
"GSM4002543","D2.1 rep2","GSM4002543","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Avilamycin","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423355","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639059","NONE","day 35","Avilamycin","ileum"
"GSM4002544","D3.1 rep2","GSM4002544","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Avilamycin","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423353","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639060","NONE","day 35","Avilamycin","ileum"
"GSM4002545","D7.1 rep2","GSM4002545","Public on Dec 31 2020","Aug 01 2019","Dec 31 2020","SRA","1","ileum","Gallus gallus","tissue: ileum","age: day 35","group: Avilamycin","Small pieces of the mid-ileum were dissected, placed into 1 mL of RNAlater (Ambion Inc.), stored overnight at 4 °C, and transferred to -80 °C until transcriptomics analysis","total RNA","Approximately 30 mg of tissue were disrupted via a bead-beating step, and total RNA was extracted and purified with the RNeasy Mini Kit (Qiagen).","Construction of RNA sequencing libraries was done with the TruSeq Stranded Total RNA Illumina kit including Ribo-Zero Gold","9031","Adapter removal and trimming was performed using Trimmomatic V0.36.","STAR-aligner v020201 was used for alignment to the chicken genomes","Samtools v1.7 were used to sort the BAM files by the read names.","Aligned reads were counted with HTSeq-count v0.6.1.","DESeq2 was used to evaluate differentially expressed genes.","Genome_build: Galgal5","GPL23499","Silvia,,Fibi-Smetana","R&D","BIOMIN Holding GmbH","Technopark 1A","Tulln","3430","Austria","0","Illumina HiSeq 4000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12423352","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6639061","NONE","day 35","Avilamycin","ileum"
