"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
253.79441655737,2.16496719660807,0.200544602575664,10.795439861271,3.61726254397642e-27,6.06868137002924e-23,"ENSGALG00000031164"
40.1075707372165,-2.61972703142669,0.270657246575924,-9.67913131670691,3.69845029673965e-22,3.10244503142006e-18,"ENSGALG00000053914"
317.215053504366,1.91095564812727,0.220487300386457,8.66696469491833,4.43792499654443e-18,2.48183558890086e-14,"ENSGALG00000002722"
2109.8235955378,-1.16611585376369,0.142883168341004,-8.16132415947448,3.31371532672027e-16,1.11188404072772e-12,"ENSGALG00000048687"
22.1580836788413,-2.48792756709561,0.313220460809241,-7.94305570162234,1.9726030685512e-15,5.51572694684725e-12,"ENSGALG00000001035"
129.273152223122,-1.1029398026664,0.148220279064935,-7.44122065903819,9.97591482948029e-14,1.85962136771323e-10,"ENSGALG00000016767"
1912.17201421104,-1.33848460446374,0.185745912738226,-7.20599761648637,5.76204108971283e-13,9.66697633621121e-10,"ENSGALG00000006217"
23.5824444813112,6.36221971318159,0.88536004686556,7.18602531897137,6.67046796713562e-13,1.01736764622395e-09,"ENSGALG00000050921"
1886.25311398316,1.38076336507778,0.195175342050027,7.07447647113057,1.50014015737437e-12,1.86924764071907e-09,"ENSGALG00000048869"
74.7754012629774,-1.99713475469389,0.284549495290509,-7.01858477258913,2.24126757495566e-12,2.35010913156445e-09,"ENSGALG00000054856"
14099.9236363729,1.7634196105351,0.267356034926748,6.59577260344341,4.23046926350537e-11,3.37974203970617e-08,"ENSGALG00000053860"
311.874373838697,-2.42719895142803,0.371563154479267,-6.53239946471458,6.47242436929729e-11,4.93581198380457e-08,"ENSGALG00000005934"
27.7599855853704,2.01515217177753,0.315610690982774,6.38493000824081,1.71475880182586e-10,1.19868785075968e-07,"ENSGALG00000009963"
158.769616732924,2.1979856516812,0.345776286081293,6.35666973172489,2.06174610158515e-10,1.38359657385176e-07,"ENSGALG00000049923"
26.8160865320918,1.61707351882325,0.254965997307888,6.34231048805513,2.26344558553985e-10,1.44350892450529e-07,"ENSGALG00000048625"
81.7353434024035,-1.05876119021891,0.169245057517751,-6.25578794292331,3.95513866420286e-10,2.28811590928729e-07,"ENSGALG00000050294"
30.6328134573339,3.251691338661,0.53069398042576,6.12724368204112,8.94144774142454e-10,4.28601910736799e-07,"ENSGALG00000009904"
11.7387121947571,2.70391215584636,0.442322640774858,6.11298610242891,9.7783889726231e-10,4.55700088315827e-07,"ENSGALG00000016669"
24.9131684865983,1.93131544530248,0.324156483178811,5.95797260126719,2.55386319591318e-09,9.52136951951897e-07,"ENSGALG00000016919"
33.8492699089593,2.41725819358839,0.411948529867125,5.86786459553111,4.41443518582144e-09,1.51144855331686e-06,"ENSGALG00000011668"
